Open,Close,High,Low,Adj_Close,Volume,Time
"3,938.68","3,981.35","3,990.84","3,928.16","3,981.35","3,981.35","Mar 02, 2023"
"3,963.34","3,951.39","3,971.73","3,939.05","3,951.39","3,951.39","Mar 01, 2023"
"3,977.19","3,970.15","3,997.50","3,968.98","3,970.15","3,970.15","Feb 28, 2023"
"3,992.36","3,982.24","4,018.05","3,973.55","3,982.24","3,982.24","Feb 27, 2023"
"3,973.24","3,970.04","3,978.25","3,943.08","3,970.04","3,970.04","Feb 24, 2023"
"4,018.60","4,012.32","4,028.30","3,969.19","4,012.32","4,012.32","Feb 23, 2023"
"4,001.83","3,991.05","4,017.37","3,976.90","3,991.05","3,991.05","Feb 22, 2023"
"4,052.35","3,997.34","4,052.35","3,995.19","3,997.34","3,997.34","Feb 21, 2023"
"4,077.39","4,079.09","4,081.51","4,047.95","4,079.09","4,079.09","Feb 17, 2023"
"4,114.75","4,090.41","4,136.54","4,089.49","4,090.41","4,090.41","Feb 16, 2023"
"4,119.50","4,147.60","4,148.11","4,103.98","4,147.60","4,147.60","Feb 15, 2023"
"4,126.70","4,136.13","4,159.77","4,095.01","4,136.13","4,136.13","Feb 14, 2023"
"4,096.62","4,137.29","4,138.90","4,092.67","4,137.29","4,137.29","Feb 13, 2023"
"4,068.92","4,090.46","4,094.36","4,060.79","4,090.46","4,090.46","Feb 10, 2023"
"4,144.25","4,081.50","4,156.23","4,069.67","4,081.50","4,081.50","Feb 09, 2023"
"4,153.47","4,117.86","4,156.85","4,111.67","4,117.86","4,117.86","Feb 08, 2023"
"4,105.35","4,164.00","4,176.54","4,088.39","4,164.00","4,164.00","Feb 07, 2023"
"4,119.57","4,111.08","4,124.63","4,093.38","4,111.08","4,111.08","Feb 06, 2023"
"4,136.69","4,136.48","4,182.36","4,123.36","4,136.48","4,136.48","Feb 03, 2023"
"4,158.68","4,179.76","4,195.44","4,141.88","4,179.76","4,179.76","Feb 02, 2023"
"4,070.07","4,119.21","4,148.95","4,037.20","4,119.21","4,119.21","Feb 01, 2023"
"4,020.85","4,076.60","4,077.16","4,020.44","4,076.60","4,076.60","Jan 31, 2023"
"4,049.27","4,017.77","4,063.85","4,015.55","4,017.77","4,017.77","Jan 30, 2023"
"4,053.72","4,070.56","4,094.21","4,048.70","4,070.56","4,070.56","Jan 27, 2023"
"4,036.08","4,060.43","4,061.57","4,013.29","4,060.43","4,060.43","Jan 26, 2023"
"3,982.71","4,016.22","4,019.55","3,949.06","4,016.22","4,016.22","Jan 25, 2023"
"4,001.74","4,016.95","4,023.92","3,989.79","4,016.95","4,016.95","Jan 24, 2023"
"3,978.14","4,019.81","4,039.31","3,971.64","4,019.81","4,019.81","Jan 23, 2023"
"3,909.04","3,972.61","3,972.96","3,897.86","3,972.61","3,972.61","Jan 20, 2023"
"3,911.84","3,898.85","3,922.94","3,885.54","3,898.85","3,898.85","Jan 19, 2023"
"4,002.25","3,928.86","4,014.16","3,926.59","3,928.86","3,928.86","Jan 18, 2023"
"3,999.28","3,990.97","4,015.39","3,984.57","3,990.97","3,990.97","Jan 17, 2023"
"3,960.60","3,999.09","4,003.95","3,947.67","3,999.09","3,999.09","Jan 13, 2023"
"3,977.57","3,983.17","3,997.76","3,937.56","3,983.17","3,983.17","Jan 12, 2023"
"3,932.35","3,969.61","3,970.07","3,928.54","3,969.61","3,969.61","Jan 11, 2023"
"3,888.57","3,919.25","3,919.83","3,877.29","3,919.25","3,919.25","Jan 10, 2023"
"3,910.82","3,892.09","3,950.57","3,890.42","3,892.09","3,892.09","Jan 09, 2023"
"3,823.37","3,895.08","3,906.19","3,809.56","3,895.08","3,895.08","Jan 06, 2023"
"3,839.74","3,808.10","3,839.74","3,802.42","3,808.10","3,808.10","Jan 05, 2023"
"3,840.36","3,852.97","3,873.16","3,815.77","3,852.97","3,852.97","Jan 04, 2023"
"3,853.29","3,824.14","3,878.46","3,794.33","3,824.14","3,824.14","Jan 03, 2023"
"3,829.06","3,839.50","3,839.85","3,800.34","3,839.50","3,839.50","Dec 30, 2022"
"3,805.45","3,849.28","3,858.19","3,805.45","3,849.28","3,849.28","Dec 29, 2022"
"3,829.56","3,783.22","3,848.32","3,780.78","3,783.22","3,783.22","Dec 28, 2022"
"3,843.34","3,829.25","3,846.65","3,813.22","3,829.25","3,829.25","Dec 27, 2022"
"3,815.11","3,844.82","3,845.80","3,797.01","3,844.82","3,844.82","Dec 23, 2022"
"3,853.26","3,822.39","3,853.26","3,764.49","3,822.39","3,822.39","Dec 22, 2022"
"3,839.49","3,878.44","3,889.82","3,839.49","3,878.44","3,878.44","Dec 21, 2022"
"3,810.47","3,821.62","3,838.24","3,795.62","3,821.62","3,821.62","Dec 20, 2022"
"3,853.79","3,817.66","3,854.86","3,800.04","3,817.66","3,817.66","Dec 19, 2022"
"3,890.91","3,852.36","3,890.91","3,827.91","3,852.36","3,852.36","Dec 16, 2022"
"3,958.37","3,895.75","3,958.37","3,879.45","3,895.75","3,895.75","Dec 15, 2022"
"4,015.54","3,995.32","4,053.76","3,965.65","3,995.32","3,995.32","Dec 14, 2022"
"4,069.38","4,019.65","4,100.96","3,993.03","4,019.65","4,019.65","Dec 13, 2022"
"3,939.29","3,990.56","3,990.71","3,935.30","3,990.56","3,990.56","Dec 12, 2022"
"3,954.17","3,934.38","3,977.02","3,933.04","3,934.38","3,934.38","Dec 09, 2022"
