Open,Close,High,Low,Volume,Time
1109.64,1111.92,1112.5601,1106.21,,2003-12-31
1111.92,1108.48,1118.85,1105.08,,2004-01-02
1108.48,1122.22,1122.22,1108.48,,2004-01-05
1122.22,1123.67,1124.46,1118.4399,,2004-01-06
1123.67,1126.33,1126.33,1116.45,,2004-01-07
1126.33,1131.92,1131.92,1124.91,,2004-01-08
1131.92,1121.86,1131.92,1120.9,,2004-01-09
1121.86,1127.23,1127.85,1120.9,,2004-01-12
1127.23,1121.22,1129.07,1115.1899,,2004-01-13
1121.22,1130.52,1130.75,1121.22,,2004-01-14
1130.52,1132.0501,1137.11,1124.54,,2004-01-15
1132.0501,1139.83,1139.83,1132.0501,,2004-01-16
1139.83,1138.77,1142.9301,1135.4,,2004-01-20
1138.77,1147.62,1149.21,1134.62,,2004-01-21
1147.62,1143.9399,1150.51,1143.01,,2004-01-22
1143.9399,1141.5501,1150.3101,1136.85,,2004-01-23
1141.5501,1155.37,1155.38,1141.0,,2004-01-26
1155.37,1144.0501,1155.37,1144.0501,,2004-01-27
1144.0501,1128.48,1149.14,1126.5,,2004-01-28
1128.48,1134.11,1134.39,1122.38,,2004-01-29
1134.11,1131.13,1134.17,1127.73,,2004-01-30
1131.13,1135.26,1142.45,1127.87,,2004-02-02
1135.26,1136.03,1137.4399,1131.33,,2004-02-03
1136.03,1126.52,1136.03,1124.74,,2004-02-04
1126.52,1128.59,1131.17,1124.4399,,2004-02-05
1128.59,1142.76,1142.79,1128.39,,2004-02-06
1142.76,1139.8101,1144.46,1139.21,,2004-02-09
1139.8101,1145.54,1147.02,1138.7,,2004-02-10
1145.54,1157.76,1158.89,1142.33,,2004-02-11
1157.76,1152.11,1157.76,1151.4399,,2004-02-12
1152.11,1145.8101,1156.88,1143.24,,2004-02-13
1145.8101,1156.99,1158.98,1145.8101,,2004-02-17
1156.99,1151.82,1157.4,1149.54,,2004-02-18
1151.82,1147.0601,1158.57,1146.85,,2004-02-19
1147.0601,1144.11,1149.8101,1139.0,,2004-02-20
1144.11,1140.99,1146.6899,1136.98,,2004-02-23
1140.99,1139.09,1144.54,1134.4301,,2004-02-24
1139.09,1143.67,1145.24,1138.96,,2004-02-25
1143.67,1144.91,1147.23,1138.62,,2004-02-26
1145.8001,1144.9399,1151.6801,1141.8001,,2004-02-27
1144.9399,1155.97,1157.45,1144.9399,,2004-03-01
1155.97,1149.1,1156.54,1147.3101,,2004-03-02
1149.1,1151.03,1152.4399,1143.78,,2004-03-03
1151.03,1154.87,1154.97,1149.8101,,2004-03-04
1154.87,1156.86,1163.23,1148.77,,2004-03-05
1156.86,1147.2,1159.9399,1146.97,,2004-03-08
1147.2,1140.58,1147.32,1136.84,,2004-03-09
1140.58,1123.89,1141.45,1122.53,,2004-03-10
1123.89,1106.78,1125.96,1105.87,,2004-03-11
1106.78,1120.57,1120.63,1106.78,,2004-03-12
1120.57,1104.49,1120.57,1103.36,,2004-03-15
1104.49,1110.7,1113.76,1102.61,,2004-03-16
1110.7,1123.75,1125.76,1110.7,,2004-03-17
1123.75,1122.32,1125.5,1113.25,,2004-03-18
1122.32,1109.78,1122.72,1109.6899,,2004-03-19
1109.78,1095.4,1109.78,1089.54,,2004-03-22
1095.4,1093.95,1101.52,1091.57,,2004-03-23
1093.95,1091.33,1098.32,1087.16,,2004-03-24
1091.33,1109.1899,1110.38,1091.33,,2004-03-25
1109.1899,1108.0601,1115.27,1106.13,,2004-03-26
1108.0601,1122.47,1124.37,1108.0601,,2004-03-29
1122.47,1127.0,1127.6,1119.66,,2004-03-30
1127.0,1126.21,1130.83,1121.46,,2004-03-31
1126.21,1132.17,1135.67,1126.2,,2004-04-01
1132.17,1141.8101,1144.8101,1132.17,,2004-04-02
1141.8101,1150.57,1150.57,1141.64,,2004-04-05
1150.57,1148.16,1150.57,1143.3001,,2004-04-06
1148.16,1140.53,1148.16,1138.41,,2004-04-07
1140.53,1139.32,1148.97,1134.52,,2004-04-08
1139.32,1145.2,1147.29,1139.32,,2004-04-12
1145.2,1129.4399,1147.78,1127.7,,2004-04-13
1129.4399,1128.17,1132.52,1122.15,,2004-04-14
1128.17,1128.84,1134.08,1120.75,,2004-04-15
1128.84,1134.61,1136.8001,1126.9,,2004-04-16
1134.5601,1135.82,1136.1801,1129.84,,2004-04-19
1135.82,1118.15,1139.26,1118.09,,2004-04-20
1118.15,1124.09,1125.72,1116.03,,2004-04-21
1124.09,1139.9301,1142.77,1121.95,,2004-04-22
1139.9301,1140.6,1141.92,1134.8101,,2004-04-23
1140.6,1135.53,1145.08,1132.91,,2004-04-26
1135.53,1138.11,1146.5601,1135.53,,2004-04-27
1138.11,1122.41,1138.11,1121.7,,2004-04-28
1122.41,1113.89,1128.8001,1108.04,,2004-04-29
1113.89,1107.3001,1119.26,1107.23,,2004-04-30
1107.3001,1117.49,1118.72,1107.3001,,2004-05-03
1117.49,1119.5501,1127.74,1112.89,,2004-05-04
1119.5501,1121.53,1125.07,1117.9,,2004-05-05
1121.53,1113.99,1121.53,1106.3001,,2004-05-06
1113.99,1098.7,1117.3001,1098.63,,2004-05-07
1098.7,1087.12,1098.7,1079.63,,2004-05-10
1087.12,1095.45,1095.6899,1087.12,,2004-05-11
1095.45,1097.28,1097.5501,1076.32,,2004-05-12
